Data;Lancamento;Documento;Remetente;Credito;Debito;Saldo apos lancamento;Linha original
04/05/2026;TED-TRANSF ELET DISPON;4162704;REMET.MODA MUNDIAL BRASIL;4.382,11;0,00;8.166,21;04/05/2026 4162704 4.382,11 8.166,21
08/05/2026;TED-TRANSF ELET DISPON;8193671;REMET.MODA MUNDIAL BRASIL;1.675,05;0,00;2.320,69;08/05/2026 8193671 1.675,05 2.320,69
08/05/2026;TED-TRANSF ELET DISPON;8199287;REMET.MODA MUNDIAL BRASIL;405,77;0,00;2.726,46;8199287 405,77 2.726,46
11/05/2026;TED-TRANSF ELET DISPON;9157526;REMET.MODA MUNDIAL BRASIL;5.415,73;0,00;7.220,27;11/05/2026 9157526 5.415,73 7.220,27
11/05/2026;TED-TRANSF ELET DISPON;9164781;REMET.MODA MUNDIAL BRASIL;113,36;0,00;7.333,63;9164781 113,36 7.333,63
11/05/2026;TED-TRANSF ELET DISPON;9164992;REMET.MODA MUNDIAL BRASIL;91,95;0,00;7.425,58;9164992 91,95 7.425,58
15/05/2026;TED-TRANSF ELET DISPON;2822440;REMET.MODA MUNDIAL BRASIL;46,68;0,00;14.815,95;15/05/2026 2822440 46,68 14.815,95
18/05/2026;TED-TRANSF ELET DISPON;3647418;REMET.MODA MUNDIAL BRASIL;8.703,29;0,00;12.944,26;18/05/2026 3647418 8.703,29 12.944,26
25/05/2026;TED-TRANSF ELET DISPON;6900372;REMET.MODA MUNDIAL BRASIL;6.325,16;0,00;8.496,17;25/05/2026 6900372 6.325,16 8.496,17
01/06/2026;TED-TRANSF ELET DISPON;2622380;REMET.MODA MUNDIAL BRASIL;5.009,34;0,00;5.622,74;01/06/2026 2622380 5.009,34 5.622,74
08/06/2026;TED-TRANSF ELET DISPON;7160297;REMET.MODA MUNDIAL BRASIL;4.004,90;0,00;4.005,90;08/06/2026 7160297 4.004,90 4.005,90
15/06/2026;TED-TRANSF ELET DISPON;1803008;REMET.MODA MUNDIAL BRASIL;4.659,76;0,00;31.056,71;15/06/2026 1803008 4.659,76 31.056,71
22/06/2026;TED-TRANSF ELET DISPON;5098229;REMET.MODA MUNDIAL BRASIL;5.380,26;0,00;10.173,57;22/06/2026 5098229 5.380,26 10.173,57
30/06/2026;TED-TRANSF ELET DISPON;8715365;REMET.MODA MUNDIAL BRASIL;7.495,82;0,00;10.237,46;30/06/2026 8715365 7.495,82 10.237,46
06/07/2026;TED-TRANSF ELET DISPON;1502994;REMET.MODA MUNDIAL BRASIL;4.587,11;0,00;15.016,51;06/07/2026 1502994 4.587,11 15.016,51
13/07/2026;TED-TRANSF ELET DISPON;5211441;REMET.MODA MUNDIAL BRASIL;3.906,33;0,00;20.333,20;13/07/2026 5211441 3.906,33 20.333,20
20/07/2026;TED-TRANSF ELET DISPON;8632326;REMET.MODA MUNDIAL BRASIL;4.529,65;0,00;16.855,29;8632326 4.529,65 16.855,29
